torque_ts
Ek: 1e-06,
Rat: 20.0,
0.00020908460360552100,803049.4883216180
0.00021008460360552100,802141.8530727010
0.0002110846036055210,801559.1224126550
0.00021208460360552100,801265.8722655990
0.00021308460360552100,801222.4566013180
0.0002140846036055220,801385.9314174520
0.0002150846036055220,801711.305932812
0.00021608460360552200,802152.8535200800
0.0002170846036055220,802665.1140715410
0.0002180846036055220,803203.735236812
0.0002190846036055220,803726.4363093010
0.00022008460360552200,804193.9337676500
0.00022108460360552200,804570.5210058380
0.00022208460360552200,804824.2952025070
0.00022308460360552200,804927.1870507590
0.00022408460360552200,804854.884102743
0.00022508460360552200,804586.698248559
0.00022608460360552200,804105.4065674690
0.0002270846036055220,803397.0425178040
0.00022808460360552200,802450.6082198070
0.00022908460360552200,801257.7521413900
0.00023008460360552200,799812.5634072960
0.00023108460360552200,798111.6474407850
0.00023208460360552200,796154.4540049250
0.00023308460360552200,793943.5931479050
0.000234084603605522,791484.9220706890
0.000235084603605522,788787.4866247130
0.000236084603605522,785863.5514592280
0.00023708460360552200,782728.7512836130
0.00023808460360552200,779402.1281354760
0.00023908460360552200,775905.8635511600
0.0002400846036055220,772264.8145454830
0.00024108460360552200,768506.0872509200
0.00024208460360552200,764658.6592889590
0.00024308460360552200,760752.8547361570
0.00024408460360552200,756819.5961536210
0.00024508460360552200,752889.5776617120
0.00024608460360552200,748992.5019698730
0.0002470846036055220,745156.4097400120
0.0002480846036055220,741407.1199847530
0.00024908460360552200,737767.8140166240
0.0002500846036055220,734258.716909293
0.0002510846036055220,730896.7884360410
0.0002520846036055220,727695.440802192
0.00025308460360552200,724664.4179983130
0.00025408460360552200,721809.9376804930
0.0002550846036055230,719135.0397996920
0.00025608460360552200,716639.9590193320
0.00025708460360552300,714322.379713896
0.00025808460360552300,712177.6290769540
0.0002590846036055230,710198.9948861020
0.0002600846036055230,708378.2274888330
0.00026108460360552300,706706.0626320940
0.00026208460360552300,705172.607475382
0.0002630846036055230,703767.6354373190
0.0002640846036055230,702480.8942850840
0.0002650846036055230,701302.3909619740
0.00026608460360552300,700222.5685025290
0.0002670846036055230,699232.4103318940
0.0002680846036055230,698323.5496704670
0.0002690846036055230,697488.3667801670
0.00027008460360552300,696720.0268622350
0.00027108460360552300,696012.4829494530
0.0002720846036055230,695360.4846160990
0.00027308460360552300,694759.5881781180
0.00027408460360552300,694206.1649571440
0.00027508460360552300,693697.4179935400
0.00027608460360552300,693231.380137834
0.000277084603605523,692806.85453744
0.00027808460360552300,692423.3151028400
0.00027908460360552300,692080.7964935780
0.0002800846036055230,691779.7368541540
0.0002810846036055230,691520.7343768220
0.00028208460360552300,691304.2873964670
0.0002830846036055230,691130.6426562330
0.0002840846036055230,690999.7876163250
0.0002850846036055230,690911.5276307320
0.00028608460360552300,690865.6088206570
0.00028708460360552300,690861.9031095320
0.0002880846036055230,690900.6486555550
0.00028908460360552300,690982.6696054790
0.00029008460360552300,691109.4834742690
0.00029108460360552300,691283.262405875
0.0002920846036055230,691506.6801359130
0.0002930846036055230,691782.6895702600
0.00029408460360552300,692114.2493060960
0.00029508460360552300,692504.011852287
0.0002960846036055240,692954.0197733400
0.0002970846036055240,693465.46365348
0.0002980846036055240,694038.5031754770
0.00029908460360552400,694672.1119619610
0.0003000846036055240,695363.9470990230
0.0003010846036055240,696110.3014960950
0.0003020846036055240,696906.1715705160
0.00030308460360552400,697745.402254437
0.0003040846036055240,698620.8662830680
0.0003050846036055240,699524.6858337070
0.00030608460360552400,700448.502099054
0.0003070846036055240,701383.741417133
0.00030808460360552400,702321.8248667420
0.0003090846036055240,703254.3417866840
0.0003100846036055240,704173.2436430340
0.00031108460360552400,705071.0638031620
0.00031208460360552400,705941.1231402030
0.0003130846036055240,706777.7090493900
0.0003140846036055240,707576.2572145320
0.00031508460360552400,708333.5468961040
0.000316084603605524,709047.8698016040
0.000317084603605524,709719.1239246610
0.000318084603605524,710348.8307106870
0.00031908460360552400,710940.1174220720
0.00032008460360552400,711497.695693407
0.0003210846036055240,712027.8215327800
0.00032208460360552400,712538.2081642390
0.00032308460360552400,713037.8997608960
